Error Reason,Utterance,Assigned label,Predicted label,Predicted confidence,Cluster confidence,Cluster,Cluster name,Assigned topic name,Predicted topic name,Cluster topic name
Mislabel,Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,0.9448492527,0.4919540717,14,card_delivery_estimate,new_card,new_card,new_card
Mislabel,When will I get my card?,card_arrival,card_delivery_estimate,0.9672086239,0.6666847834,14,card_delivery_estimate,new_card,new_card,new_card
Mislabel,How long does a card delivery take?,card_arrival,card_delivery_estimate,0.9673514962,0.6205900753,14,card_delivery_estimate,new_card,new_card,new_card
Model Error,Status of the card I ordered.,card_arrival,lost_or_stolen_card,0.3743737936,0.3802061113,57,order_physical_card,new_card,new_card,new_card
Mislabel,How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.9658502936,0.8406476516,14,card_delivery_estimate,new_card,new_card,new_card
Model Error,Is it a good time to exchange?,exchange_rate,exchange_via_app,0.8883020282,0.5677135126,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,0.3576194942,0.3683931099,30,exchange_rate,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal,0.9604564905,1,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,How do I change currencies to euros?,fiat_currency_support,exchange_via_app,0.9411250353,0.3418115046,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Am I able to exchange currencies?,fiat_currency_support,exchange_via_app,0.9756020904,0.9631710283,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Can I exchange currencies?,fiat_currency_support,exchange_via_app,0.9607639909,0.2804083764,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support,0.9172210097,1,21,country_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival,0.9304224849,1,35,card_arrival,new_card,new_card,new_card
Model Error,I'm just wondering when my card will get here.,card_delivery_estimate,card_arrival,0.8869160414,0.7526311718,35,card_arrival,new_card,new_card,new_card
Mislabel,Can I get my card expedited?,card_delivery_estimate,card_arrival,0.9555140734,0.7077301435,35,card_arrival,new_card,new_card,new_card
Vague,I am waiting for my card to arrive.,card_delivery_estimate,card_arrival,0.975673914,0.9649706763,35,card_arrival,new_card,new_card,new_card
Model Error,"Is there a top-up feature, if there isn't a lot of money left?",automatic_top_up,pending_top_up,0.7524847388,0.732763987,52,pending_top_up,top_up,top_up,top_up
Model Error,Nothing goes through on my card.,card_not_working,declined_card_payment,0.4441947341,0.9932687922,62,declined_card_payment,card_malfunction,card_malfunction,card_malfunction
Mislabel,What currency's can i exchange for?,exchange_via_app,fiat_currency_support,0.5170394778,0,-1,,exchange_rate_currency,exchange_rate_currency,unknown
Mislabel,Can I change my currency from USD to EUR?,exchange_via_app,fiat_currency_support,0.9693115354,0.4877037377,29,fiat_currency_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Will you reinstate my PIN?,pin_blocked,change_pin,0.7847066522,0.448938734,11,change_pin,account_management,account_management,account_management
Model Error,"How do I reset my PIN, I can't seem to use my card?",pin_blocked,change_pin,0.9533327818,0.8277707501,11,change_pin,account_management,account_management,account_management
Mislabel,"My account is blocked, how do I log in now",pin_blocked,terminate_account,0.632445097,0.3102652832,32,terminate_account,account_management,account_management,account_management
Model Error,Can I reactivate my PIN?,pin_blocked,change_pin,0.5767903328,0.2085519812,11,change_pin,account_management,account_management,account_management
Mislabel,How do I reset my PIN?,pin_blocked,change_pin,0.976184845,1,11,change_pin,account_management,account_management,account_management
Model Error,My contanctless has stopped working,contactless_not_working,card_not_working,0.549497366,1,24,card_not_working,card_malfunction,card_malfunction,card_malfunction
Model Error,The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,declined_card_payment,0.2670343816,0.5393978869,62,declined_card_payment,card_malfunction,card_malfunction,card_malfunction
Vague,I would like to refill my account using SWIFT.,top_up_by_bank_transfer_charge,top_up_by_cash_or_cheque,0.7399325967,1,42,top_up_by_cash_or_cheque,top_up,top_up,top_up
Vague,What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge,0.9692757726,0.6500038379,65,top_up_by_card_charge,top_up,top_up,top_up
Model Error,"I've already topped up, but I cannot see the funds being available. What happened?",pending_top_up,top_up_reverted,0.8841708302,0.1596716374,74,top_up_reverted,top_up,top_up,top_up
Model Error,"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,topping_up_by_card,0.3490843177,0.378452585,73,top_up_failed,top_up,top_up,top_up
Model Error,Am I free to top-up as much as I want?,top_up_limits,top_up_by_card_charge,0.8778666854,0.7388586606,65,top_up_by_card_charge,top_up,top_up,top_up
Model Error,Why did I not get my cash back after I withdrew?,wrong_amount_of_cash_received,declined_cash_withdrawal,0.9352345467,1,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Mislabel,Where is the money I pushed it's on my mobile app as being withdrawn.,wrong_amount_of_cash_received,cash_withdrawal_not_recognised,0.5644188523,0.9754545293,56,cash_withdrawal_not_recognised,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Mislabel,My cash withdrawal was partly declined,wrong_amount_of_cash_received,declined_cash_withdrawal,0.9770438075,1,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Mislabel,Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,declined_cash_withdrawal,0.9767243862,0.5783936296,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,im not sure what this charge is for,card_payment_fee_charged,direct_debit_payment_not_recognised,0.9716491699,0.836672473,64,direct_debit_payment_not_recognised,card_payment,card_payment,card_payment
Mislabel,how long do money transfers take?,transfer_not_received_by_recipient,pending_transfer,0.8663884997,0.437129578,70,pending_transfer,transfers,transfers,transfers
Other,Where is the transfer I started?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,0.8558665514,0.3244978377,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Vague,transaction failed?,transfer_not_received_by_recipient,failed_transfer,0.9541805983,0.9863066495,61,failed_transfer,transfers,transfers,transfers
Model Error,I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,transfer_fee_charged,0.3896874189,0.6379011543,72,transfer_fee_charged,transfers,transfers,transfers
Model Error,When will my funds transfer?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,0.9318583012,0.6612174228,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Model Error,Which forms of currency are accepted?,supported_cards_and_currencies,fiat_currency_support,0.6994897723,0.1771924176,29,fiat_currency_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,Do you accept other currencies besides US Dollars?,supported_cards_and_currencies,fiat_currency_support,0.9288761616,0.2277860439,29,fiat_currency_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,I need to reorder my virtual card!,getting_virtual_card,virtual_card_not_working,0.4740857482,0.933751165,8,virtual_card_not_working,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Mislabel,Can I use my card for payment all over the world?,card_acceptance,country_support,0.62224406,0.2681043159,21,country_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,"I am traveling to Germany, Will I be able to use my card there?",card_acceptance,country_support,0.8903568387,1,21,country_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,What stores will take my credit card as payment?,card_acceptance,supported_cards_and_currencies,0.2736593485,0.3308084937,22,card_acceptance,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,areas card is accpeted,card_acceptance,country_support,0.3794466853,0.121176619,21,country_support,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,"My top-up showed as complete, but it's no longer there! What's going on here?",top_up_reverted,pending_top_up,0.6487793326,0.3730698203,52,pending_top_up,top_up,top_up,top_up
Mislabel,The app wouldn't accept my top up.,top_up_reverted,top_up_failed,0.9737209678,1,73,top_up_failed,top_up,top_up,top_up
Mislabel,"I believe my money did not go through with my top up, was there a problem on your end?",top_up_reverted,top_up_failed,0.7793328762,0,-1,,top_up,top_up,unknown
Mislabel,On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed,0.9496685266,0.707205897,73,top_up_failed,top_up,top_up,top_up
Model Error,I won't verify my identity.,why_verify_identity,unable_to_verify_identity,0.9318329692,0.4515272756,46,unable_to_verify_identity,identity_verification,identity_verification,identity_verification
Mislabel,What other methods are there to verify my identity?,why_verify_identity,verify_my_identity,0.9524608254,0.9171209716,60,verify_my_identity,identity_verification,identity_verification,identity_verification
Model Error,What do i need to verify my id?,unable_to_verify_identity,verify_my_identity,0.9551702738,1,60,verify_my_identity,identity_verification,identity_verification,identity_verification
Model Error,Can I top up using my car?,topping_up_by_card,top_up_limits,0.4813153744,0.3824532093,13,top_up_limits,top_up,top_up,top_up
Mislabel,"I followed the instructions to transfer money using my card, but then the money disappeared and I don't know what happened.",topping_up_by_card,top_up_reverted,0.5599688888,0.9862724021,66,topping_up_by_card,top_up,top_up,top_up
Model Error,how can i top up?,topping_up_by_card,top_up_limits,0.9176906943,0.4535735682,13,top_up_limits,top_up,top_up,top_up
Mislabel,"I am missing some funds from my account - I tried to transfer them using my credit card number, and it disappeared.",topping_up_by_card,top_up_reverted,0.5597171187,0.5605179561,66,topping_up_by_card,top_up,top_up,top_up
Mislabel,"I did a top-up, but I'm not seeing it in my wallet yet.",topping_up_by_card,pending_top_up,0.3353537619,0.4706476342,52,pending_top_up,top_up,top_up,top_up
Mislabel,"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,pending_top_up,0.6190459132,0.6117584859,52,pending_top_up,top_up,top_up,top_up
Model Error,Why is my money gone right when I attempted to top up,topping_up_by_card,top_up_failed,0.6349209547,0.1310645386,73,top_up_failed,top_up,top_up,top_up
Mislabel,Why can't I see the top-up amount I just added to my account?,topping_up_by_card,pending_top_up,0.9568816423,0.724911473,52,pending_top_up,top_up,top_up,top_up
Model Error,What is the maximum number of transactions I can make with one card?,disposable_card_limits,getting_spare_card,0.9494624734,0.6386730371,26,getting_spare_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,How can I create many temporary cards daily?,disposable_card_limits,getting_spare_card,0.9293325543,1,26,getting_spare_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,Are there any hindrances to using a disposable virtual card?,disposable_card_limits,get_disposable_virtual_card,0.6647450328,0.4072348992,47,get_disposable_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,How many virtual cards do I get?,disposable_card_limits,getting_virtual_card,0.9509027004,0.670879409,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,What can I use a virtual disposable card for?,disposable_card_limits,get_disposable_virtual_card,0.9293572307,1,47,get_disposable_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,"If I feel someone has my card information, can I get a new card?",compromised_card,order_physical_card,0.387075603,0.6690531955,57,order_physical_card,new_card,new_card,new_card
Model Error,Is there places where I can't withdraw money?,atm_support,declined_cash_withdrawal,0.8958342671,1,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Vague,There is a transaction from my account that I don't recognize can you trace back the information so I can make sure it's something I did or not?,direct_debit_payment_not_recognised,card_payment_not_recognised,0.5032569766,0.5515410264,75,card_payment_not_recognised,card_payment,card_payment,card_payment
Model Error,I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,card_payment_fee_charged,0.2922368646,0.1192671077,71,card_payment_fee_charged,card_payment,card_payment,card_payment
Vague,Why was I unable to do a transfer?,declined_transfer,failed_transfer,0.9398918152,0.9204014071,61,failed_transfer,transfers,transfers,transfers
Model Error,Trouble transferring transaction contact for help,declined_transfer,beneficiary_not_allowed,0.696713984,0.4603208509,44,beneficiary_not_allowed,transfers,transfers,transfers
Vague,I can't transfer money from my account.,declined_transfer,failed_transfer,0.9286171198,0.5566483956,61,failed_transfer,transfers,transfers,transfers
Model Error,Why doesn't a return show up im my account from a purchase I made?,Refund_not_showing_up,request_refund,0.6024312973,0.3385434738,0,Refund_not_showing_up,transactions,transactions,transactions
Model Error,"I transferred money yesterday, but it still isn't available?",pending_transfer,transfer_not_received_by_recipient,0.5504031181,0.1644344258,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Model Error,How long do transfer pend for?,pending_transfer,transfer_timing,0.4433814287,0.2430006416,70,pending_transfer,transfers,transfers,transfers
Model Error,When will the transfer go through?,pending_transfer,transfer_not_received_by_recipient,0.7029117346,0.1776007106,67,transfer_not_received_by_recipient,transfers,transfers,transfers
Model Error,When will my transfer go through?,pending_transfer,failed_transfer,0.5907563567,0.7140090784,61,failed_transfer,transfers,transfers,transfers
Mislabel,Someone transferred money to me and it doesn't show,pending_transfer,transfer_not_received_by_recipient,0.5400554538,0.1949056446,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Model Error,How long can I expect a transfer to pend for?,pending_transfer,transfer_timing,0.720274806,0.156082005,70,pending_transfer,transfers,transfers,transfers
Model Error,I was retrieving money and my card wouldn't remove.,card_swallowed,declined_cash_withdrawal,0.6604696512,0.5937427318,34,card_swallowed,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,My ATM got stuck and I'm not sure what to do.,card_swallowed,declined_cash_withdrawal,0.8103694916,0.5053554668,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,I was taking out funds and was unable to regain my card.,card_swallowed,declined_cash_withdrawal,0.3651992679,0.4438340176,34,card_swallowed,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,What should I do with my atm that got stuck?,card_swallowed,declined_cash_withdrawal,0.4602306783,0.5331803227,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,declined_cash_withdrawal,0.6703794003,0.467878444,37,declined_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal,atm_cash_withdrawal
Model Error,How long until my transfer goes through?,transfer_timing,pending_transfer,0.529266417,0.1847672553,70,pending_transfer,transfers,transfers,transfers
Model Error,how long dies it take for transfers to reflect on my balance,transfer_timing,balance_not_updated_after_bank_transfer,0.7057668567,0.3789881345,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Mislabel,When does the money get transferred to my account,transfer_timing,balance_not_updated_after_bank_transfer,0.8982448578,0.7371121938,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Model Error,How long does it take for a transfer?,transfer_timing,pending_transfer,0.6492683291,0.225260439,70,pending_transfer,transfers,transfers,transfers
Mislabel,I've tried numerous times to submit a transfer of funds. Why isn't it going through?,beneficiary_not_allowed,failed_transfer,0.861623764,1,61,failed_transfer,transfers,transfers,transfers
Model Error,How do I do a successful transfer to an account?,beneficiary_not_allowed,transfer_into_account,0.5648623705,0.0643118396,45,transfer_into_account,transfers,transfers,transfers
Mislabel,I tried to transfer money but it said it wasn't possible? I've done this before and it worked why isn't it working now?,beneficiary_not_allowed,failed_transfer,0.9196727276,0.5341842292,61,failed_transfer,transfers,transfers,transfers
Mislabel,Why isn't my transfer going through? I get a message saying it's not possible. I've had no issues in the past.,beneficiary_not_allowed,failed_transfer,0.6489613652,0.3630362639,61,failed_transfer,transfers,transfers,transfers
Mislabel,The account transfer I was trying to do failed.,beneficiary_not_allowed,failed_transfer,0.8725376129,0.3523224654,61,failed_transfer,transfers,transfers,transfers
Mislabel,Can you help with a transfer to an account,beneficiary_not_allowed,transfer_into_account,0.6092122197,0.08289129578,45,transfer_into_account,transfers,transfers,transfers
Mislabel,What are your policies for card transfers?,failed_transfer,transfer_into_account,0.1383764297,0.2915066148,45,transfer_into_account,transfers,transfers,transfers
Model Error,What is stopping my money from transferring?,failed_transfer,beneficiary_not_allowed,0.8692603111,0.6227347354,44,beneficiary_not_allowed,transfers,transfers,transfers
Vague,help me with my transfer,failed_transfer,declined_transfer,0.4441812932,0.67438611,61,failed_transfer,transfers,transfers,transfers
Model Error,How does a transfer work?,transfer_into_account,declined_transfer,0.3089960515,0.2913124799,61,failed_transfer,transfers,transfers,transfers
Model Error,Can I purchase extra non-virtual cards?,getting_spare_card,get_disposable_virtual_card,0.6174574494,0.1695745143,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,How can I top-up my card?,top_up_by_cash_or_cheque,topping_up_by_card,0.8628737926,1,66,topping_up_by_card,top_up,top_up,top_up
Model Error,Can I make multiple online transactions with my virtual card?,virtual_card_not_working,get_disposable_virtual_card,0.4769060612,0.1358781374,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Mislabel,Is there a fee for exchanging cash?,wrong_exchange_rate_for_cash_withdrawal,exchange_charge,0.8432476521,1,39,exchange_charge,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,I feel like too much money was taken during my currency exchange.,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,0.5223036408,0.3376325542,48,card_payment_wrong_exchange_rate,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Vague,how do VR cards work,get_disposable_virtual_card,getting_virtual_card,0.3748935461,0.648086011,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,I would like a temporary virtual card,get_disposable_virtual_card,getting_virtual_card,0.8098065853,0.3458634724,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,Can i get a single use virtual card,get_disposable_virtual_card,getting_virtual_card,0.5600252151,0.2507271071,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Vague,how does a virtual card work,get_disposable_virtual_card,getting_virtual_card,0.3976014853,0.2176122188,43,getting_virtual_card,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Mislabel,how many transactions can i make with a disposable card,get_disposable_virtual_card,disposable_card_limits,0.9530237913,0.3366858557,9,disposable_card_limits,virtual_disposable_cards,virtual_disposable_cards,virtual_disposable_cards
Model Error,Why didn`t my topup go through?,top_up_failed,top_up_reverted,0.9506379366,0.2179740902,74,top_up_reverted,top_up,top_up,top_up
Model Error,Why would my topup not go through?,top_up_failed,top_up_reverted,0.7346201539,0.1226200429,74,top_up_reverted,top_up,top_up,top_up
Mislabel,How long does it take for an international transfer into my account?,balance_not_updated_after_bank_transfer,transfer_timing,0.8643027544,0.4839238109,69,transfer_timing,transfers,transfers,transfers
Mislabel,When will my transfer be available in my account.,balance_not_updated_after_bank_transfer,transfer_timing,0.9600701332,1,69,transfer_timing,transfers,transfers,transfers
Model Error,I didn't get the money I transferred,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.6791815758,0.1806374707,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Mislabel,How long does a UK transfer take?,balance_not_updated_after_bank_transfer,transfer_timing,0.4960725009,0.1851842084,69,transfer_timing,transfers,transfers,transfers
Mislabel,I made an out of country transfer and it hasn't went through yet.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.7234487534,0.3597084094,67,transfer_not_received_by_recipient,transfers,transfers,transfers
Mislabel,I transferred some money but it is yet to arrive.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.6932196021,0.1454380952,68,balance_not_updated_after_bank_transfer,transfers,transfers,transfers
Model Error,Why don't I have my transfer?,balance_not_updated_after_bank_transfer,failed_transfer,0.829954505,0.9552906805,61,failed_transfer,transfers,transfers,transfers
Mislabel,How long until my transfer will be available to me,balance_not_updated_after_bank_transfer,transfer_timing,0.4430699646,0.1640379159,70,pending_transfer,transfers,transfers,transfers
Mislabel,My transfer is pending.,balance_not_updated_after_bank_transfer,pending_transfer,0.9630717039,1,70,pending_transfer,transfers,transfers,transfers
Mislabel,whats your exchange rate,exchange_charge,exchange_rate,0.9723514318,0.6987169716,30,exchange_rate,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,Where do I find the exchange rate?,exchange_charge,exchange_rate,0.9732047915,0.9532679893,30,exchange_rate,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Model Error,"If I want to exchange currency, will there be extras?",exchange_charge,exchange_via_app,0.9436560869,1,28,exchange_via_app,exchange_rate_currency,exchange_rate_currency,exchange_rate_currency
Mislabel,Is it okay to use a bank card to top up,top_up_by_card_charge,topping_up_by_card,0.8788799047,0.6995285856,66,topping_up_by_card,top_up,top_up,top_up
Mislabel,WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card,lost_or_stolen_card,0.9302874804,0.401949743,55,lost_or_stolen_card,new_card,new_card,new_card
Mislabel,"I will need to get a new card soon, how do I order?",card_about_to_expire,order_physical_card,0.4837727547,0.1260382025,57,order_physical_card,new_card,new_card,new_card
Model Error,How can I verify my indentity?,verify_my_identity,why_verify_identity,0.7289498448,0.199774133,60,verify_my_identity,identity_verification,identity_verification,identity_verification
Model Error,I need to verify my identity,verify_my_identity,why_verify_identity,0.7232524753,0.1984139026,60,verify_my_identity,identity_verification,identity_verification,identity_verification
Model Error,do the details of my profile have to match my documents,verify_my_identity,why_verify_identity,0.5819330812,0.2776024009,59,why_verify_identity,identity_verification,identity_verification,identity_verification
Model Error,Is there any way to verify who I am?,verify_my_identity,why_verify_identity,0.7087947726,0,-1,,identity_verification,identity_verification,unknown